Estac,Fecha,Altura(m),Caudal(m3/s)
3153,10/1/1972,0.65,0.95
3153,10/2/1972,0.82,3.06
3153,10/3/1972,1,6.6
3153,10/4/1972,0.84,3.42
3153,10/5/1972,1.1,10.25
3153,10/6/1972,1.14,11.75
3153,10/7/1972,1.04,8.06
3153,10/8/1972,1.22,14.7
3153,10/9/1972,1.12,11
3153,10/10/1972,0.87,3.96
3153,10/11/1972,0.78,2.44
3153,10/12/1972,1.02,7.33
3153,10/13/1972,1.09,9.88
3153,10/14/1972,0.96,5.72
3153,10/15/1972,0.93,5.1
3153,10/16/1972,0.72,1.66
3153,10/17/1972,0.84,3.42
3153,10/18/1972,0.94,5.3
3153,10/19/1972,0.94,5.3
3153,10/20/1972,1.22,14.7
3153,10/21/1972,1.1,10.25
3153,10/22/1972,1,6.6
3153,10/23/1972,0.98,6.16
3153,10/24/1972,0.96,5.72
3153,10/25/1972,0.98,6.16
3153,10/26/1972,1.04,8.06
3153,10/27/1972,1.1,10.25
3153,10/28/1972,1.02,7.33
3153,10/29/1972,1,6.6
3153,10/30/1972,0.98,6.16
3153,10/31/1972,0.98,6.16
3153,11/1/1972,1.28,16.8
3153,11/2/1972,1.27,16.45
3153,11/3/1972,1.44,23.3
3153,11/4/1972,2.42,82.85
3153,11/5/1972,2.76,115.1
3153,11/6/1972,2.5,90.25
3153,11/7/1972,2.72,111.2
3153,11/8/1972,3.12,158.6
3153,11/9/1972,2.68,107.3
3153,11/10/1972,2.1,59
3153,11/11/1972,2.24,68.6
3153,11/12/1972,2.19,64.85
3153,11/13/1972,2.02,53.8
3153,11/14/1972,1.92,47.7
3153,11/15/1972,2.16,62.9
3153,11/16/1972,1.44,23.3
3153,11/17/1972,0.86,3.78
3153,11/18/1972,0.96,5.72
3153,11/19/1972,0.94,5.3
3153,11/20/1972,0.96,5.72
3153,11/21/1972,0.97,5.94
3153,11/22/1972,0.96,5.72
3153,11/23/1972,1.24,15.4
3153,11/24/1972,1.08,9.52
3153,11/25/1972,1.64,32.5
3153,11/26/1972,2.15,62.25
3153,11/27/1972,2.16,62.9
3153,11/28/1972,1.39,21.1
3153,11/29/1972,1.39,21.1
3153,11/30/1972,1.31,17.9
